Table,,,,
Marks ,GP,Grade,,
,,,18.35,Eighteen  point three five
,,,18.35,Eighteen  point three five
,,,18.35,Eighteen  point three five
,,,18.35,Eighteen  point three five
,,,18.35,Eighteen  point three five
,,,18.35,Eighteen  point three five
,,,18.35,Eighteen  point three five
,,,18.36,Eighteen  point three six
,,,18.36,Eighteen  point three six
,,,18.36,Eighteen  point three six
,,,18.36,Eighteen  point three six
,,,18.36,Eighteen  point three six
,,,18.36,Eighteen  point three six
,,,18.36,Eighteen  point three six
,,,18.36,Eighteen  point three six
,,,18.36,Eighteen  point three six
,,,18.36,Eighteen  point three six
,,,18.37,Eighteen  point three seven
,,,18.37,Eighteen  point three seven
,,,18.37,Eighteen  point three seven
,,,18.37,Eighteen  point three seven
,,,18.37,Eighteen  point three seven
,,,18.37,Eighteen  point three seven
,,,18.37,Eighteen  point three seven
,,,18.37,Eighteen  point three seven
,,,18.37,Eighteen  point three seven
,,,18.37,Eighteen  point three seven
,,,18.38,Eighteen  point three eight
,,,18.38,Eighteen  point three eight
,,,18.38,Eighteen  point three eight
,,,18.38,Eighteen  point three eight
,,,18.38,Eighteen  point three eight
,,,18.38,Eighteen  point three eight
,,,18.38,Eighteen  point three eight
,,,18.38,Eighteen  point three eight
,,,18.38,Eighteen  point three eight
,,,18.38,Eighteen  point three eight
,,,18.39,Eighteen  point three nine
,,,18.39,Eighteen  point three nine
,,,18.39,Eighteen  point three nine
,,,18.39,Eighteen  point three nine
,,,18.39,Eighteen  point three nine
,,,18.39,Eighteen  point three nine
,,,18.39,Eighteen  point three nine
,,,18.39,Eighteen  point three nine
,,,18.39,Eighteen  point three nine
,,,18.39,Eighteen  point three nine
,,,18.40,Eighteen  point four
,,,18.40,Eighteen  point four
,,,18.40,Eighteen  point four
,,,18.40,Eighteen  point four
,,,18.40,Eighteen  point four
,,,18.40,Eighteen  point four
,,,18.40,Eighteen  point four
,,,18.40,Eighteen  point four
,,,18.40,Eighteen  point four
,,,18.40,Eighteen  point four
,,,18.41,Eighteen  point four one
,,,18.41,Eighteen  point four one
,,,18.41,Eighteen  point four one
,,,18.41,Eighteen  point four one
,,,18.41,Eighteen  point four one
,,,18.41,Eighteen  point four one
,,,18.41,Eighteen  point four one
,,,18.41,Eighteen  point four one
,,,18.41,Eighteen  point four one
,,,18.41,Eighteen  point four one
,,,18.42,Eighteen  point four two
,,,18.42,Eighteen  point four two
,,,18.42,Eighteen  point four two
,,,18.42,Eighteen  point four two
,,,18.42,Eighteen  point four two
,,,18.42,Eighteen  point four two
,,,18.42,Eighteen  point four two
,,,18.42,Eighteen  point four two
,,,18.42,Eighteen  point four two
,,,18.42,Eighteen  point four two
,,,18.43,Eighteen  point four three
,,,18.43,Eighteen  point four three
,,,18.43,Eighteen  point four three
,,,18.43,Eighteen  point four three
,,,18.43,Eighteen  point four three
,,,18.43,Eighteen  point four three
,,,18.43,Eighteen  point four three
,,,18.43,Eighteen  point four three
,,,18.43,Eighteen  point four three
,,,18.43,Eighteen  point four three
,,,18.44,Eighteen  point four four
,,,18.44,Eighteen  point four four
,,,18.44,Eighteen  point four four
,,,18.44,Eighteen  point four four
,,,18.44,Eighteen  point four four
,,,18.44,Eighteen  point four four
,,,18.44,Eighteen  point four four
,,,18.44,Eighteen  point four four
,,,18.44,Eighteen  point four four
,,,18.44,Eighteen  point four four
,,,18.45,Eighteen  point four five
,,,18.45,Eighteen  point four five
,,,18.45,Eighteen  point four five
,,,18.45,Eighteen  point four five
,,,18.45,Eighteen  point four five
,,,18.45,Eighteen  point four five
,,,18.45,Eighteen  point four five
,,,18.45,Eighteen  point four five
,,,18.45,Eighteen  point four five
,,,18.45,Eighteen  point four five
,,,18.46,Eighteen  point four six
,,,18.46,Eighteen  point four six
,,,18.46,Eighteen  point four six
,,,18.46,Eighteen  point four six
,,,18.46,Eighteen  point four six
,,,18.46,Eighteen  point four six
,,,18.46,Eighteen  point four six
,,,18.46,Eighteen  point four six
,,,18.46,Eighteen  point four six
,,,18.46,Eighteen  point four six
,,,18.47,Eighteen  point four seven
,,,18.47,Eighteen  point four seven
,,,18.47,Eighteen  point four seven
,,,18.47,Eighteen  point four seven
,,,18.47,Eighteen  point four seven
,,,18.47,Eighteen  point four seven
,,,18.47,Eighteen  point four seven
,,,18.47,Eighteen  point four seven
,,,18.47,Eighteen  point four seven
,,,18.47,Eighteen  point four seven
,,,18.48,Eighteen  point four eight
,,,18.48,Eighteen  point four eight
,,,18.48,Eighteen  point four eight
,,,18.48,Eighteen  point four eight
,,,18.48,Eighteen  point four eight
,,,18.48,Eighteen  point four eight
,,,18.48,Eighteen  point four eight
,,,18.48,Eighteen  point four eight
,,,18.48,Eighteen  point four eight
,,,18.48,Eighteen  point four eight
,,,18.49,Eighteen  point four nine
,,,18.49,Eighteen  point four nine
,,,18.49,Eighteen  point four nine
,,,18.49,Eighteen  point four nine
,,,18.49,Eighteen  point four nine
,,,18.49,Eighteen  point four nine
,,,18.49,Eighteen  point four nine
,,,18.49,Eighteen  point four nine
,,,18.49,Eighteen  point four nine
,,,18.49,Eighteen  point four nine
,,,18.50,Eighteen  point five
,,,18.50,Eighteen  point five
,,,18.50,Eighteen  point five
,,,18.50,Eighteen  point five
,,,18.50,Eighteen  point five
,,,18.50,Eighteen  point five
,,,18.50,Eighteen  point five
,,,18.50,Eighteen  point five
,,,18.50,Eighteen  point five
,,,18.50,Eighteen  point five
,,,18.51,Eighteen  point five one
,,,18.51,Eighteen  point five one
,,,18.51,Eighteen  point five one
,,,18.51,Eighteen  point five one
,,,18.51,Eighteen  point five one
,,,18.51,Eighteen  point five one
,,,18.51,Eighteen  point five one
,,,18.51,Eighteen  point five one
,,,18.51,Eighteen  point five one
,,,18.51,Eighteen  point five one
,,,18.52,Eighteen  point five two
,,,18.52,Eighteen  point five two
,,,18.52,Eighteen  point five two
,,,18.52,Eighteen  point five two
,,,18.52,Eighteen  point five two
,,,18.52,Eighteen  point five two
,,,18.52,Eighteen  point five two
,,,18.52,Eighteen  point five two
,,,18.52,Eighteen  point five two
,,,18.52,Eighteen  point five two
,,,18.53,Eighteen  point five three
,,,18.53,Eighteen  point five three
,,,18.53,Eighteen  point five three
,,,18.53,Eighteen  point five three
,,,18.53,Eighteen  point five three
,,,18.53,Eighteen  point five three
,,,18.53,Eighteen  point five three
,,,18.53,Eighteen  point five three
,,,18.53,Eighteen  point five three
,,,18.53,Eighteen  point five three
,,,18.54,Eighteen  point five four
,,,18.54,Eighteen  point five four
,,,18.54,Eighteen  point five four
,,,18.54,Eighteen  point five four
,,,18.54,Eighteen  point five four
,,,18.54,Eighteen  point five four
,,,18.54,Eighteen  point five four
,,,18.54,Eighteen  point five four
,,,18.54,Eighteen  point five four
,,,18.54,Eighteen  point five four
,,,18.55,Eighteen  point five five
,,,18.55,Eighteen  point five five
,,,18.55,Eighteen  point five five
,,,18.55,Eighteen  point five five
,,,18.55,Eighteen  point five five
,,,18.55,Eighteen  point five five
,,,18.55,Eighteen  point five five
,,,18.55,Eighteen  point five five
,,,18.55,Eighteen  point five five
,,,18.55,Eighteen  point five five
,,,18.56,Eighteen  point five six
,,,18.56,Eighteen  point five six
,,,18.56,Eighteen  point five six
,,,18.56,Eighteen  point five six
,,,18.56,Eighteen  point five six
,,,18.56,Eighteen  point five six
,,,18.56,Eighteen  point five six
,,,18.56,Eighteen  point five six
,,,18.56,Eighteen  point five six
,,,18.56,Eighteen  point five six
,,,18.57,Eighteen  point five seven
,,,18.57,Eighteen  point five seven
,,,18.57,Eighteen  point five seven
,,,18.57,Eighteen  point five seven
,,,18.57,Eighteen  point five seven
,,,18.57,Eighteen  point five seven
,,,18.57,Eighteen  point five seven
,,,18.57,Eighteen  point five seven
,,,18.57,Eighteen  point five seven
,,,18.57,Eighteen  point five seven
,,,18.58,Eighteen  point five eight
,,,18.58,Eighteen  point five eight
,,,18.58,Eighteen  point five eight
,,,18.58,Eighteen  point five eight
,,,18.58,Eighteen  point five eight
,,,18.58,Eighteen  point five eight
,,,18.58,Eighteen  point five eight
,,,18.58,Eighteen  point five eight
,,,18.58,Eighteen  point five eight
,,,18.58,Eighteen  point five eight
,,,18.59,Eighteen  point five nine
,,,18.59,Eighteen  point five nine
,,,18.59,Eighteen  point five nine
,,,18.59,Eighteen  point five nine
,,,18.59,Eighteen  point five nine
,,,18.59,Eighteen  point five nine
,,,18.59,Eighteen  point five nine
,,,18.59,Eighteen  point five nine
,,,18.59,Eighteen  point five nine
,,,18.59,Eighteen  point five nine
,,,18.60,Eighteen  point six
,,,18.60,Eighteen  point six
,,,18.60,Eighteen  point six
,,,18.60,Eighteen  point six
,,,18.60,Eighteen  point six
,,,18.60,Eighteen  point six
,,,18.60,Eighteen  point six
,,,18.60,Eighteen  point six
,,,18.60,Eighteen  point six
,,,18.60,Eighteen  point six
,,,18.61,Eighteen  point six one
,,,18.61,Eighteen  point six one
,,,18.61,Eighteen  point six one
,,,18.61,Eighteen  point six one
,,,18.61,Eighteen  point six one
,,,18.61,Eighteen  point six one
,,,18.61,Eighteen  point six one
,,,18.61,Eighteen  point six one
,,,18.61,Eighteen  point six one
,,,18.61,Eighteen  point six one
,,,18.62,Eighteen  point six two
,,,18.62,Eighteen  point six two
,,,18.62,Eighteen  point six two
,,,18.62,Eighteen  point six two
,,,18.62,Eighteen  point six two
,,,18.62,Eighteen  point six two
,,,18.62,Eighteen  point six two
,,,18.62,Eighteen  point six two
,,,18.62,Eighteen  point six two
,,,18.62,Eighteen  point six two
,,,18.63,Eighteen  point six three
,,,18.63,Eighteen  point six three
,,,18.63,Eighteen  point six three
,,,18.63,Eighteen  point six three
,,,18.63,Eighteen  point six three
,,,18.63,Eighteen  point six three
,,,18.63,Eighteen  point six three
,,,18.63,Eighteen  point six three
,,,18.63,Eighteen  point six three
,,,18.63,Eighteen  point six three
,,,18.64,Eighteen  point six four
,,,18.64,Eighteen  point six four
,,,18.64,Eighteen  point six four
,,,18.64,Eighteen  point six four
,,,18.64,Eighteen  point six four
,,,18.64,Eighteen  point six four
,,,18.64,Eighteen  point six four
,,,18.64,Eighteen  point six four
,,,18.64,Eighteen  point six four
,,,18.64,Eighteen  point six four
,,,18.65,Eighteen  point six five
,,,18.65,Eighteen  point six five
,,,18.65,Eighteen  point six five
,,,18.65,Eighteen  point six five
,,,18.65,Eighteen  point six five
,,,18.65,Eighteen  point six five
,,,18.65,Eighteen  point six five
,,,18.65,Eighteen  point six five
,,,18.65,Eighteen  point six five
,,,18.65,Eighteen  point six five
,,,18.66,Eighteen  point six six
,,,18.66,Eighteen  point six six
,,,18.66,Eighteen  point six six
,,,18.66,Eighteen  point six six
,,,18.66,Eighteen  point six six
,,,18.66,Eighteen  point six six
,,,18.66,Eighteen  point six six
,,,18.66,Eighteen  point six six
,,,18.66,Eighteen  point six six
,,,18.66,Eighteen  point six six
,,,18.67,Eighteen  point six seven
,,,18.67,Eighteen  point six seven
,,,18.67,Eighteen  point six seven
,,,18.67,Eighteen  point six seven
,,,18.67,Eighteen  point six seven
,,,18.67,Eighteen  point six seven
,,,18.67,Eighteen  point six seven
,,,18.67,Eighteen  point six seven
,,,18.67,Eighteen  point six seven
,,,18.67,Eighteen  point six seven
,,,18.68,Eighteen  point six eight
,,,18.68,Eighteen  point six eight
,,,18.68,Eighteen  point six eight
,,,18.68,Eighteen  point six eight
,,,18.68,Eighteen  point six eight
,,,18.68,Eighteen  point six eight
,,,18.68,Eighteen  point six eight
,,,18.68,Eighteen  point six eight
,,,18.68,Eighteen  point six eight
,,,18.68,Eighteen  point six eight
,,,18.69,Eighteen  point six nine
,,,18.69,Eighteen  point six nine
,,,18.69,Eighteen  point six nine
,,,18.69,Eighteen  point six nine
,,,18.69,Eighteen  point six nine
,,,18.69,Eighteen  point six nine
,,,18.69,Eighteen  point six nine
,,,18.69,Eighteen  point six nine
,,,18.69,Eighteen  point six nine
,,,18.69,Eighteen  point six nine
,,,18.70,Eighteen  point seven
,,,18.70,Eighteen  point seven
,,,18.70,Eighteen  point seven
,,,18.70,Eighteen  point seven
,,,18.70,Eighteen  point seven
,,,18.70,Eighteen  point seven
,,,18.70,Eighteen  point seven
,,,18.70,Eighteen  point seven
,,,18.70,Eighteen  point seven
,,,18.70,Eighteen  point seven
,,,18.71,Eighteen  point seven one
,,,18.71,Eighteen  point seven one
,,,18.71,Eighteen  point seven one
,,,18.71,Eighteen  point seven one
,,,18.71,Eighteen  point seven one
,,,18.71,Eighteen  point seven one
,,,18.71,Eighteen  point seven one
,,,18.71,Eighteen  point seven one
,,,18.71,Eighteen  point seven one
,,,18.71,Eighteen  point seven one
,,,18.72,Eighteen  point seven two
,,,18.72,Eighteen  point seven two
,,,18.72,Eighteen  point seven two
,,,18.72,Eighteen  point seven two
,,,18.72,Eighteen  point seven two
,,,18.72,Eighteen  point seven two
,,,18.72,Eighteen  point seven two
,,,18.72,Eighteen  point seven two
,,,18.72,Eighteen  point seven two
,,,18.72,Eighteen  point seven two
,,,18.73,Eighteen  point seven three
,,,18.73,Eighteen  point seven three
,,,18.73,Eighteen  point seven three
,,,18.73,Eighteen  point seven three
,,,18.73,Eighteen  point seven three
,,,18.73,Eighteen  point seven three
,,,18.73,Eighteen  point seven three
,,,18.73,Eighteen  point seven three
,,,18.73,Eighteen  point seven three
,,,18.73,Eighteen  point seven three
,,,18.74,Eighteen  point seven four
,,,18.74,Eighteen  point seven four
,,,18.74,Eighteen  point seven four
,,,18.74,Eighteen  point seven four
,,,18.74,Eighteen  point seven four
,,,18.74,Eighteen  point seven four
,,,18.74,Eighteen  point seven four
,,,18.74,Eighteen  point seven four
,,,18.74,Eighteen  point seven four
,,,18.74,Eighteen  point seven four
,,,18.75,Eighteen  point seven five
,,,18.75,Eighteen  point seven five
,,,18.75,Eighteen  point seven five
,,,18.75,Eighteen  point seven five
,,,18.75,Eighteen  point seven five
,,,18.75,Eighteen  point seven five
,,,18.75,Eighteen  point seven five
,,,18.75,Eighteen  point seven five
,,,18.75,Eighteen  point seven five
,,,18.75,Eighteen  point seven five
,,,18.76,Eighteen  point seven six
,,,18.76,Eighteen  point seven six
,,,18.76,Eighteen  point seven six
,,,18.76,Eighteen  point seven six
,,,18.76,Eighteen  point seven six
,,,18.76,Eighteen  point seven six
,,,18.76,Eighteen  point seven six
,,,18.76,Eighteen  point seven six
,,,18.76,Eighteen  point seven six
,,,18.76,Eighteen  point seven six
,,,18.77,Eighteen  point seven seven
,,,18.77,Eighteen  point seven seven
,,,18.77,Eighteen  point seven seven
,,,18.77,Eighteen  point seven seven
,,,18.77,Eighteen  point seven seven
,,,18.77,Eighteen  point seven seven
,,,18.77,Eighteen  point seven seven
,,,18.77,Eighteen  point seven seven
,,,18.77,Eighteen  point seven seven
,,,18.77,Eighteen  point seven seven
,,,18.78,Eighteen  point seven eight
,,,18.78,Eighteen  point seven eight
,,,18.78,Eighteen  point seven eight
,,,18.78,Eighteen  point seven eight
,,,18.78,Eighteen  point seven eight
,,,18.78,Eighteen  point seven eight
,,,18.78,Eighteen  point seven eight
,,,18.78,Eighteen  point seven eight
,,,18.78,Eighteen  point seven eight
,,,18.78,Eighteen  point seven eight
,,,18.79,Eighteen  point seven nine
,,,18.79,Eighteen  point seven nine
,,,18.79,Eighteen  point seven nine
,,,18.79,Eighteen  point seven nine
,,,18.79,Eighteen  point seven nine
,,,18.79,Eighteen  point seven nine
,,,18.79,Eighteen  point seven nine
,,,18.79,Eighteen  point seven nine
,,,18.79,Eighteen  point seven nine
,,,18.79,Eighteen  point seven nine
,,,18.80,Eighteen  point eight
,,,18.80,Eighteen  point eight
,,,18.80,Eighteen  point eight
,,,18.80,Eighteen  point eight
,,,18.80,Eighteen  point eight
,,,18.80,Eighteen  point eight
,,,18.80,Eighteen  point eight
,,,18.80,Eighteen  point eight
,,,18.80,Eighteen  point eight
,,,18.80,Eighteen  point eight
,,,18.81,Eighteen  point eight one
,,,18.81,Eighteen  point eight one
,,,18.81,Eighteen  point eight one
,,,18.81,Eighteen  point eight one
,,,18.81,Eighteen  point eight one
,,,18.81,Eighteen  point eight one
,,,18.81,Eighteen  point eight one
,,,18.81,Eighteen  point eight one
,,,18.81,Eighteen  point eight one
,,,18.81,Eighteen  point eight one
,,,18.82,Eighteen  point eight two
,,,18.82,Eighteen  point eight two
,,,18.82,Eighteen  point eight two
,,,18.82,Eighteen  point eight two
,,,18.82,Eighteen  point eight two
,,,18.82,Eighteen  point eight two
,,,18.82,Eighteen  point eight two
,,,18.82,Eighteen  point eight two
,,,18.82,Eighteen  point eight two
,,,18.82,Eighteen  point eight two
,,,18.83,Eighteen  point eight three
,,,18.83,Eighteen  point eight three
,,,18.83,Eighteen  point eight three
,,,18.83,Eighteen  point eight three
,,,18.83,Eighteen  point eight three
,,,18.83,Eighteen  point eight three
,,,18.83,Eighteen  point eight three
,,,18.83,Eighteen  point eight three
,,,18.83,Eighteen  point eight three
,,,18.83,Eighteen  point eight three
,,,18.84,Eighteen  point eight four
,,,18.84,Eighteen  point eight four
,,,18.84,Eighteen  point eight four
,,,18.84,Eighteen  point eight four
,,,18.84,Eighteen  point eight four
,,,18.84,Eighteen  point eight four
,,,18.84,Eighteen  point eight four
,,,18.84,Eighteen  point eight four
,,,18.84,Eighteen  point eight four
,,,18.84,Eighteen  point eight four
,,,18.85,Eighteen  point eight five
,,,18.85,Eighteen  point eight five
,,,18.85,Eighteen  point eight five
,,,18.85,Eighteen  point eight five
,,,18.85,Eighteen  point eight five
,,,18.85,Eighteen  point eight five
,,,18.85,Eighteen  point eight five
,,,18.85,Eighteen  point eight five
,,,18.85,Eighteen  point eight five
,,,18.85,Eighteen  point eight five
,,,18.86,Eighteen  point eight six
,,,18.86,Eighteen  point eight six
,,,18.86,Eighteen  point eight six
,,,18.86,Eighteen  point eight six
,,,18.86,Eighteen  point eight six
,,,18.86,Eighteen  point eight six
,,,18.86,Eighteen  point eight six
,,,18.86,Eighteen  point eight six
,,,18.86,Eighteen  point eight six
,,,18.86,Eighteen  point eight six
,,,18.87,Eighteen  point eight seven
,,,18.87,Eighteen  point eight seven
,,,18.87,Eighteen  point eight seven
,,,18.87,Eighteen  point eight seven
,,,18.87,Eighteen  point eight seven
,,,18.87,Eighteen  point eight seven
,,,18.87,Eighteen  point eight seven
,,,18.87,Eighteen  point eight seven
,,,18.87,Eighteen  point eight seven
,,,18.87,Eighteen  point eight seven
,,,18.88,Eighteen  point eight eight
,,,18.88,Eighteen  point eight eight
,,,18.88,Eighteen  point eight eight
,,,18.88,Eighteen  point eight eight
,,,18.88,Eighteen  point eight eight
,,,18.88,Eighteen  point eight eight
,,,18.88,Eighteen  point eight eight
,,,18.88,Eighteen  point eight eight
,,,18.88,Eighteen  point eight eight
,,,18.88,Eighteen  point eight eight
,,,18.89,Eighteen  point eight nine
,,,18.89,Eighteen  point eight nine
,,,18.89,Eighteen  point eight nine
,,,18.89,Eighteen  point eight nine
,,,18.89,Eighteen  point eight nine
,,,18.89,Eighteen  point eight nine
,,,18.89,Eighteen  point eight nine
,,,18.89,Eighteen  point eight nine
,,,18.89,Eighteen  point eight nine
,,,18.89,Eighteen  point eight nine
,,,18.90,Eighteen  point nine
,,,18.90,Eighteen  point nine
,,,18.90,Eighteen  point nine
,,,18.90,Eighteen  point nine
,,,18.90,Eighteen  point nine
,,,18.90,Eighteen  point nine
,,,18.90,Eighteen  point nine
,,,18.90,Eighteen  point nine
,,,18.90,Eighteen  point nine
,,,18.90,Eighteen  point nine
,,,18.91,Eighteen  point nine one
,,,18.91,Eighteen  point nine one
,,,18.91,Eighteen  point nine one
,,,18.91,Eighteen  point nine one
,,,18.91,Eighteen  point nine one
,,,18.91,Eighteen  point nine one
,,,18.91,Eighteen  point nine one
,,,18.91,Eighteen  point nine one
,,,18.91,Eighteen  point nine one
,,,18.91,Eighteen  point nine one
,,,18.92,Eighteen  point nine two
,,,18.92,Eighteen  point nine two
,,,18.92,Eighteen  point nine two
,,,18.92,Eighteen  point nine two
,,,18.92,Eighteen  point nine two
,,,18.92,Eighteen  point nine two
,,,18.92,Eighteen  point nine two
,,,18.92,Eighteen  point nine two
,,,18.92,Eighteen  point nine two
,,,18.92,Eighteen  point nine two
,,,18.93,Eighteen  point nine three
,,,18.93,Eighteen  point nine three
,,,18.93,Eighteen  point nine three
,,,18.93,Eighteen  point nine three
,,,18.93,Eighteen  point nine three
,,,18.93,Eighteen  point nine three
,,,18.93,Eighteen  point nine three
,,,18.93,Eighteen  point nine three
,,,18.93,Eighteen  point nine three
,,,18.93,Eighteen  point nine three
,,,18.94,Eighteen  point nine four
,,,18.94,Eighteen  point nine four
,,,18.94,Eighteen  point nine four
,,,18.94,Eighteen  point nine four
,,,18.94,Eighteen  point nine four
,,,18.94,Eighteen  point nine four
,,,18.94,Eighteen  point nine four
,,,18.94,Eighteen  point nine four
,,,18.94,Eighteen  point nine four
,,,18.94,Eighteen  point nine four
,,,18.95,Eighteen  point nine five
,,,18.95,Eighteen  point nine five
,,,18.95,Eighteen  point nine five
,,,18.95,Eighteen  point nine five
,,,18.95,Eighteen  point nine five
,,,18.95,Eighteen  point nine five
,,,18.95,Eighteen  point nine five
,,,18.95,Eighteen  point nine five
,,,18.95,Eighteen  point nine five
,,,18.95,Eighteen  point nine five
,,,18.96,Eighteen  point nine six
,,,18.96,Eighteen  point nine six
,,,18.96,Eighteen  point nine six
,,,18.96,Eighteen  point nine six
,,,18.96,Eighteen  point nine six
,,,18.96,Eighteen  point nine six
,,,18.96,Eighteen  point nine six
,,,18.96,Eighteen  point nine six
,,,18.96,Eighteen  point nine six
,,,18.96,Eighteen  point nine six
,,,18.97,Eighteen  point nine seven
,,,18.97,Eighteen  point nine seven
,,,18.97,Eighteen  point nine seven
,,,18.97,Eighteen  point nine seven
,,,18.97,Eighteen  point nine seven
,,,18.97,Eighteen  point nine seven
,,,18.97,Eighteen  point nine seven
,,,18.97,Eighteen  point nine seven
,,,18.97,Eighteen  point nine seven
,,,18.97,Eighteen  point nine seven
,,,18.98,Eighteen  point nine eight
,,,18.98,Eighteen  point nine eight
,,,18.98,Eighteen  point nine eight
,,,18.98,Eighteen  point nine eight
,,,18.98,Eighteen  point nine eight
,,,18.98,Eighteen  point nine eight
,,,18.98,Eighteen  point nine eight
,,,18.98,Eighteen  point nine eight
,,,18.98,Eighteen  point nine eight
,,,18.98,Eighteen  point nine eight
,,,18.99,Eighteen  point nine nine
,,,18.99,Eighteen  point nine nine
,,,18.99,Eighteen  point nine nine
,,,18.99,Eighteen  point nine nine
,,,18.99,Eighteen  point nine nine
,,,18.99,Eighteen  point nine nine
,,,18.99,Eighteen  point nine nine
,,,18.99,Eighteen  point nine nine
,,,18.99,Eighteen  point nine nine
,,,18.99,Eighteen  point nine nine
,,,19.00,Nineteen  point zero
,,,19.00,Nineteen  point zero
,,,19.00,Nineteen  point zero
,,,19.00,Nineteen  point zero
,,,19.00,Nineteen  point zero
,,,19.00,Nineteen  point zero
,,,19.00,Nineteen  point zero
,,,19.00,Nineteen  point zero
,,,19.00,Nineteen  point zero
,,,19.00,Nineteen  point zero
,,,19.01,Nineteen  point zero one
,,,19.01,Nineteen  point zero one
,,,19.01,Nineteen  point zero one
,,,19.01,Nineteen  point zero one
,,,19.01,Nineteen  point zero one
,,,19.01,Nineteen  point zero one
,,,19.01,Nineteen  point zero one
,,,19.01,Nineteen  point zero one
,,,19.01,Nineteen  point zero one
,,,19.01,Nineteen  point zero one
,,,19.02,Nineteen  point zero two
,,,19.02,Nineteen  point zero two
,,,19.02,Nineteen  point zero two
,,,19.02,Nineteen  point zero two
,,,19.02,Nineteen  point zero two
,,,19.02,Nineteen  point zero two
,,,19.02,Nineteen  point zero two
,,,19.02,Nineteen  point zero two
,,,19.02,Nineteen  point zero two
,,,19.02,Nineteen  point zero two
,,,19.03,Nineteen  point zero three
,,,19.03,Nineteen  point zero three
,,,19.03,Nineteen  point zero three
,,,19.03,Nineteen  point zero three
,,,19.03,Nineteen  point zero three
,,,19.03,Nineteen  point zero three
,,,19.03,Nineteen  point zero three
,,,19.03,Nineteen  point zero three
,,,19.03,Nineteen  point zero three
,,,19.03,Nineteen  point zero three
,,,19.04,Nineteen  point zero four
,,,19.04,Nineteen  point zero four
,,,19.04,Nineteen  point zero four
,,,19.04,Nineteen  point zero four
,,,19.04,Nineteen  point zero four
,,,19.04,Nineteen  point zero four
,,,19.04,Nineteen  point zero four
,,,19.04,Nineteen  point zero four
,,,19.04,Nineteen  point zero four
,,,19.04,Nineteen  point zero four
,,,19.05,Nineteen  point zero five
,,,19.05,Nineteen  point zero five
,,,19.05,Nineteen  point zero five
,,,19.05,Nineteen  point zero five
,,,19.05,Nineteen  point zero five
,,,19.05,Nineteen  point zero five
,,,19.05,Nineteen  point zero five
,,,19.05,Nineteen  point zero five
,,,19.05,Nineteen  point zero five
,,,19.05,Nineteen  point zero five
,,,19.06,Nineteen  point zero six
,,,19.06,Nineteen  point zero six
,,,19.06,Nineteen  point zero six
,,,19.06,Nineteen  point zero six
,,,19.06,Nineteen  point zero six
,,,19.06,Nineteen  point zero six
,,,19.06,Nineteen  point zero six
,,,19.06,Nineteen  point zero six
,,,19.06,Nineteen  point zero six
,,,19.06,Nineteen  point zero six
,,,19.07,Nineteen  point zero seven
,,,19.07,Nineteen  point zero seven
,,,19.07,Nineteen  point zero seven
,,,19.07,Nineteen  point zero seven
,,,19.07,Nineteen  point zero seven
,,,19.07,Nineteen  point zero seven
,,,19.07,Nineteen  point zero seven
,,,19.07,Nineteen  point zero seven
,,,19.07,Nineteen  point zero seven
,,,19.07,Nineteen  point zero seven
,,,19.08,Nineteen  point zero eight
,,,19.08,Nineteen  point zero eight
,,,19.08,Nineteen  point zero eight
,,,19.08,Nineteen  point zero eight
,,,19.08,Nineteen  point zero eight
,,,19.08,Nineteen  point zero eight
,,,19.08,Nineteen  point zero eight
,,,19.08,Nineteen  point zero eight
,,,19.08,Nineteen  point zero eight
,,,19.08,Nineteen  point zero eight
,,,19.09,Nineteen  point zero nine
,,,19.09,Nineteen  point zero nine
,,,19.09,Nineteen  point zero nine
,,,19.09,Nineteen  point zero nine
,,,19.09,Nineteen  point zero nine
,,,19.09,Nineteen  point zero nine
,,,19.09,Nineteen  point zero nine
,,,19.09,Nineteen  point zero nine
,,,19.09,Nineteen  point zero nine
,,,19.09,Nineteen  point zero nine
,,,19.10,Nineteen  point one
,,,19.10,Nineteen  point one
,,,19.10,Nineteen  point one
,,,19.10,Nineteen  point one
,,,19.10,Nineteen  point one
,,,19.10,Nineteen  point one
,,,19.10,Nineteen  point one
,,,19.10,Nineteen  point one
,,,19.10,Nineteen  point one
,,,19.10,Nineteen  point one
,,,19.11,Nineteen  point one one
,,,19.11,Nineteen  point one one
,,,19.11,Nineteen  point one one
,,,19.11,Nineteen  point one one
,,,19.11,Nineteen  point one one
,,,19.11,Nineteen  point one one
,,,19.11,Nineteen  point one one
,,,19.11,Nineteen  point one one
,,,19.11,Nineteen  point one one
,,,19.11,Nineteen  point one one
,,,19.12,Nineteen  point one two
,,,19.12,Nineteen  point one two
,,,19.12,Nineteen  point one two
,,,19.12,Nineteen  point one two
,,,19.12,Nineteen  point one two
,,,19.12,Nineteen  point one two
,,,19.12,Nineteen  point one two
,,,19.12,Nineteen  point one two
,,,19.12,Nineteen  point one two
,,,19.12,Nineteen  point one two
,,,19.13,Nineteen  point one three
,,,19.13,Nineteen  point one three
,,,19.13,Nineteen  point one three
,,,19.13,Nineteen  point one three
,,,19.13,Nineteen  point one three
,,,19.13,Nineteen  point one three
,,,19.13,Nineteen  point one three
,,,19.13,Nineteen  point one three
,,,19.13,Nineteen  point one three
,,,19.13,Nineteen  point one three
,,,19.14,Nineteen  point one four
,,,19.14,Nineteen  point one four
