Table,,,,
Marks ,GP,Grade,,
60.2,2.6,C,0.15,Zero point one five
60.3,2.6,C,0.15,Zero point one five
60.4,2.6,C,0.15,Zero point one five
60.5,2.7,C,0.15,Zero point one five
60.6,2.7,C,0.15,Zero point one five
60.7,2.7,C,0.15,Zero point one five
60.8,2.7,C,0.15,Zero point one five
60.9,2.7,C,0.16,Zero point one six
61.0,2.7,C,0.16,Zero point one six
61.1,2.7,C,0.16,Zero point one six
61.2,2.7,C,0.16,Zero point one six
61.3,2.7,C,0.16,Zero point one six
61.4,2.7,C,0.16,Zero point one six
61.5,2.7,C,0.16,Zero point one six
61.6,2.7,C,0.16,Zero point one six
61.7,2.7,C,0.16,Zero point one six
61.8,2.7,C,0.16,Zero point one six
61.9,2.7,C,0.17,Zero point one seven
62.0,2.8,C,0.17,Zero point one seven
62.1,2.8,C,0.17,Zero point one seven
62.2,2.8,C,0.17,Zero point one seven
62.3,2.8,C,0.17,Zero point one seven
62.4,2.8,C,0.17,Zero point one seven
62.5,2.8,C,0.17,Zero point one seven
62.6,2.8,C,0.17,Zero point one seven
62.7,2.8,C,0.17,Zero point one seven
62.8,2.8,C,0.17,Zero point one seven
62.9,2.8,C,0.18,Zero point one eight
63.0,2.8,C,0.18,Zero point one eight
63.1,2.8,C,0.18,Zero point one eight
63.2,2.8,C,0.18,Zero point one eight
63.3,2.8,C,0.18,Zero point one eight
63.4,2.8,C,0.18,Zero point one eight
63.5,2.9,C,0.18,Zero point one eight
63.6,2.9,C,0.18,Zero point one eight
63.7,2.9,C,0.18,Zero point one eight
63.8,2.9,C,0.18,Zero point one eight
63.9,2.9,C,0.19,Zero point one nine
64.0,2.9,C,0.19,Zero point one nine
64.1,2.9,C,0.19,Zero point one nine
64.2,2.9,C,0.19,Zero point one nine
64.3,2.9,C,0.19,Zero point one nine
64.4,2.9,C,0.19,Zero point one nine
64.5,2.9,C,0.19,Zero point one nine
64.6,2.9,C,0.19,Zero point one nine
64.7,2.9,C,0.19,Zero point one nine
64.8,2.9,C,0.19,Zero point one nine
64.9,2.9,C,0.20,Zero point two
65.0,3.0,B,0.20,Zero point two
65.1,3.0,B,0.20,Zero point two
65.2,3.0,B,0.20,Zero point two
65.3,3.0,B,0.20,Zero point two
65.4,3.0,B,0.20,Zero point two
65.5,3.0,B,0.20,Zero point two
65.6,3.0,B,0.20,Zero point two
65.7,3.0,B,0.20,Zero point two
65.8,3.0,B,0.20,Zero point two
